"","k","error"
"1",1,0.0415682569674067
"2",2,0.0401511572980633
"3",3,0.028814359943316
"4",4,0.028814359943316
"5",5,0.0278696268304204
"6",6,0.028814359943316
"7",7,0.026452527161077
"8",8,0.0269248937175248
"9",9,0.026452527161077
"10",10,0.0283419933868682
"11",11,0.0273972602739726
"12",12,0.0278696268304204
"13",13,0.0283419933868682
"14",14,0.0278696268304204
"15",15,0.0273972602739726
"16",16,0.0278696268304204
"17",17,0.0269248937175248
"18",18,0.0273972602739726
"19",19,0.0278696268304204
"20",20,0.028814359943316
